it	posterior	likelihood	prior	accuracy	test_accuracy	f_C0	f_C1	f_C2	f_C3	f_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	alpha_0	alpha_1	alpha_2	acc_prob	mcmc_id
16200	-1210.919872309066	-57.636414334823854	-1153.283457974242	0.9982332155477032	0.996	0.19832155477031801	0.19964664310954064	0.20141342756183744	0.19964664310954064	0.20097173144876326	0.07745004936000735	0.9654660730825272	-0.8091474216257134	2.1977439828399645	-0.15762379983907618	3.036492506439979	0.14782561150184034	0.9879294192758905	0.0781980503547643	0.24925925925925926	0
16300	-1212.731995386824	-56.95659083772636	-1155.7754045490979	0.9982332155477032	0.996	0.19832155477031801	0.19964664310954064	0.20141342756183744	0.19964664310954064	0.20097173144876326	0.0779392452721458	0.9659530181575723	-0.8227869235327918	2.203780151844777	-0.1780015330778598	3.0299270692491413	0.11811137818958281	0.9813985174703246	0.19983201935569375	0.249079754601227	0
16400	-1215.8058752051843	-59.12912122326794	-1156.6767539819164	0.9982332155477032	0.996	0.19832155477031801	0.19964664310954064	0.20141342756183744	0.19964664310954064	0.20097173144876326	0.07550513447014394	0.9669415269632377	-0.8153072115658239	2.196366031891031	-0.16467284944419272	3.0092093581191954	0.12559510551308217	0.9852333581814356	0.30089193033238704	0.24878048780487805	0
16500	-1213.7451485165693	-64.08087803601462	-1149.6642704805547	0.9973498233215548	0.996	0.19832155477031801	0.19964664310954064	0.20229681978798586	0.19876325088339222	0.20097173144876326	0.07699241950491738	0.9678403177268374	-0.7995879842594853	2.1877742529804842	-0.17836589898585195	2.9925300616725545	0.13257994364370618	0.9917840842447392	0.041298375692855854	0.2486060606060606	0
16600	-1213.8588746500134	-67.89638624068606	-1145.9624884093273	0.9986749116607774	0.996	0.19920494699646643	0.19920494699646643	0.20008833922261485	0.20008833922261485	0.20141342756183744	0.07773288512001637	0.9662531527491179	-0.7976616833599518	2.1826955161237285	-0.1719857072850151	2.9824774637477485	0.0927738643370137	0.9832422938480714	0.0178103464507149	0.24855421686746987	0
16700	-1216.4249938389623	-63.90587354251776	-1152.5191202964445	0.9973498233215548	0.996	0.19920494699646643	0.1978798586572438	0.20053003533568906	0.20141342756183744	0.20097173144876326	0.08043345148138889	0.9675135945052137	-0.8237425114083331	2.1813208160901185	-0.15581884061562642	2.962399405198965	0.10801670725106013	0.9969841311291097	0.2814306241351296	0.248562874251497	0
16800	-1219.398412146416	-72.15640440252756	-1147.2420077438883	0.9973498233215548	0.996	0.19832155477031801	0.19876325088339222	0.20141342756183744	0.20053003533568906	0.20097173144876326	0.0819246606286161	0.9671720903309224	-0.8092517147432708	2.164643361086135	-0.14098836191273756	2.974732624807186	0.12118665314665372	0.9634169080755585	0.09334024958130367	0.24857142857142858	0
16900	-1217.2187283836704	-64.91471047308627	-1152.3040179105842	0.9991166077738516	0.996	0.19920494699646643	0.19964664310954064	0.20053003533568906	0.19964664310954064	0.20097173144876326	0.08340060959258958	0.9694089003253346	-0.8018217340495408	2.1472244299816876	-0.15474605349453938	2.9431323018854005	0.1476839399358303	0.9949874644475694	0.3376075963024484	0.24893491124260356	0
17000	-1218.3334327915804	-65.01496477666373	-1153.3184680149168	0.9995583038869258	0.996	0.19964664310954064	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20097173144876326	0.0873907486858255	0.9692431259496095	-0.7822352622058583	2.162229921112377	-0.1487063789455609	2.970536814732013	0.1502363695060922	0.9352770664622725	0.3285343026437603	0.24888235294117647	0
17100	-1211.0990457809448	-54.91367284279792	-1156.1853729381469	0.9991166077738516	0.996	0.19920494699646643	0.19964664310954064	0.20053003533568906	0.19964664310954064	0.20097173144876326	0.09106318863338451	0.9657875307586111	-0.7925268395838637	2.1651629990178303	-0.1747878519991828	3.0074042528188185	0.16374750765340154	0.9765303834017259	0.34284033381088086	0.24923976608187134	0
