it	posterior	likelihood	prior	accuracy	test_accuracy	f_C0	f_C1	f_C2	f_C3	f_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2
20200	-1366.0723008264029	-81.70886088434432	-1284.3634399420584	0.9982316534040672	1.0	0.19938107869142352	0.20247568523430592	0.19982316534040673	0.19938107869142352	0.1989389920424403	0.02434958609412411	1.1337638521356705	0.27100652301916967	2.706577871477316	-0.09760278578191389	3.3269224618089828
20300	-1364.9167680300893	-80.1602134167472	-1284.7565546133421	0.9982316534040672	1.0	0.19982316534040673	0.20203359858532272	0.19982316534040673	0.19938107869142352	0.1989389920424403	0.019289914105495062	1.132052016253053	0.289271503883846	2.6970231051485176	-0.07719888462082163	3.354190337560716
20400	-1361.4114037069196	-79.73493835383023	-1281.6764653530893	0.9982316534040672	1.0	0.19938107869142352	0.20247568523430592	0.19982316534040673	0.19938107869142352	0.1989389920424403	0.02483222937845416	1.132102652438718	0.27529478088509074	2.6591719870767414	-0.08879107786712001	3.3471813854697854
20500	-1366.4366127727276	-83.77247653438255	-1282.664136238345	0.9982316534040672	1.0	0.19938107869142352	0.20247568523430592	0.19982316534040673	0.19938107869142352	0.1989389920424403	0.025374532267375	1.1341550998451022	0.29350871123336214	2.662885479449715	-0.10157753514478182	3.3360712306967764
20600	-1365.0231054944516	-86.15275235989483	-1278.8703531345568	0.9986737400530504	1.0	0.19938107869142352	0.20114942528735633	0.19982316534040673	0.20070733863837312	0.1989389920424403	0.02008568098285942	1.1281854177324049	0.30394024742304804	2.6665562374975353	-0.08712437989849954	3.3402760969813765
20700	-1366.1334380584876	-83.79661772953034	-1282.3368203289574	0.997789566755084	1.0	0.19938107869142352	0.20203359858532272	0.2002652519893899	0.19938107869142352	0.1989389920424403	0.019872725911961892	1.1301525968035007	0.3326381515557597	2.6663294235097315	-0.09270454985141051	3.3618895023141806
20800	-1365.5783194207254	-83.44687598861775	-1282.1314434321077	0.997789566755084	1.0	0.19938107869142352	0.20291777188328913	0.19982316534040673	0.1989389920424403	0.1989389920424403	0.02082878037022787	1.1312375680835758	0.32811227688362243	2.6649753908853087	-0.0326826432894873	3.352506631721739
20900	-1362.4718451752328	-80.24162699110704	-1282.2302181841258	0.9982316534040672	1.0	0.19938107869142352	0.20247568523430592	0.19982316534040673	0.19938107869142352	0.1989389920424403	0.023251705111731146	1.131689612153315	0.35672499483703013	2.654758985837556	-0.0694553136448331	3.3539607713768627
21000	-1363.03791547965	-82.28332143101737	-1280.7545940486327	0.997789566755084	1.0	0.19938107869142352	0.20203359858532272	0.2002652519893899	0.19938107869142352	0.1989389920424403	0.02481440031474679	1.1331593932839141	0.3499347060023589	2.658331732809161	-0.0605712820000715	3.3211673247637523
21100	-1362.956165298387	-78.73182207293245	-1284.2243432254547	0.997789566755084	1.0	0.19938107869142352	0.20203359858532272	0.2002652519893899	0.19938107869142352	0.1989389920424403	0.01915911444838481	1.1345116585192743	0.36002986877160836	2.670338334951359	-0.07324905044131481	3.340986361001258
21200	-1364.8983014161026	-81.05406698816194	-1283.8442344279406	0.9986737400530504	1.0	0.19938107869142352	0.20114942528735633	0.2002652519893899	0.2002652519893899	0.1989389920424403	0.023638006435478795	1.1333818524730577	0.35191168645974946	2.6759902247787686	-0.09639324082373736	3.3413439090165613
21300	-1363.153458274443	-78.44916482393506	-1284.704293450508	0.997789566755084	1.0	0.19938107869142352	0.20203359858532272	0.2002652519893899	0.19938107869142352	0.1989389920424403	0.02879432427894764	1.1340650130646526	0.3369235004970267	2.620039414595444	-0.10233223259874205	3.389971229529342
21400	-1364.1284765857472	-77.77247534815322	-1286.356001237594	0.9982316534040672	1.0	0.19938107869142352	0.20247568523430592	0.19982316534040673	0.19938107869142352	0.1989389920424403	0.027783754333587075	1.1359964999940844	0.35445418461219413	2.6111229837101813	-0.12476718866382598	3.397325739948566
21500	-1356.2182757215623	-73.92195799813848	-1282.296317723424	0.9982316534040672	1.0	0.19938107869142352	0.20247568523430592	0.19982316534040673	0.19938107869142352	0.1989389920424403	0.030876643030586085	1.133132092246953	0.3294360874537143	2.6205278295901535	-0.1296007866003052	3.3684917044371163
21600	-1360.1380858881228	-76.07124867259662	-1284.0668372155262	0.9982316534040672	1.0	0.19938107869142352	0.20159151193633953	0.19982316534040673	0.2002652519893899	0.1989389920424403	0.030926568667850294	1.1339027241362885	0.35133243125686037	2.62187480628234	-0.15123045248262418	3.3786361775928313
21700	-1362.7056183565287	-75.92612115115725	-1286.7794972053714	0.9982316534040672	1.0	0.19938107869142352	0.20247568523430592	0.19982316534040673	0.19938107869142352	0.1989389920424403	0.031919349231277344	1.1341502252376439	0.35206522981923394	2.6286028480163854	-0.1478465065902254	3.403127085921599
21800	-1362.4740984349837	-77.18400938200944	-1285.2900890529743	0.997789566755084	1.0	0.19938107869142352	0.20203359858532272	0.19982316534040673	0.19982316534040673	0.1989389920424403	0.028848118419224012	1.1338991483131222	0.3261870639456129	2.633294617665902	-0.15075169000529148	3.3872740007092665
21900	-1357.646302774371	-75.79711080936431	-1281.8491919650066	0.997789566755084	0.996	0.19982316534040673	0.20159151193633953	0.19982316534040673	0.19982316534040673	0.1989389920424403	0.027566974409168082	1.1292306161897314	0.3574317962752177	2.6361603595781036	-0.15863169763264875	3.381406441345797
22000	-1357.4402111045133	-77.7426684087063	-1279.697542695807	0.997789566755084	0.996	0.19982316534040673	0.20159151193633953	0.2002652519893899	0.19938107869142352	0.1989389920424403	0.022358211019093605	1.1260902639163706	0.37191594932685645	2.6242236600541533	-0.1686607586924331	3.391188668706028
22100	-1358.0509702171912	-81.40037274901627	-1276.650597468175	0.997789566755084	1.0	0.19938107869142352	0.20114942528735633	0.20070733863837312	0.19982316534040673	0.1989389920424403	0.01837833035811376	1.123911004418312	0.3704785945609408	2.640300058612008	-0.1569106584256731	3.362640616974323
22200	-1357.457912765533	-80.38445462987241	-1277.0734581356605	0.9982316534040672	1.0	0.19938107869142352	0.20159151193633953	0.2002652519893899	0.19982316534040673	0.1989389920424403	0.019258520593342317	1.1264603334496401	0.377598876695053	2.6489909923856945	-0.17138352431732373	3.337104485599756
22300	-1356.772544376643	-82.68759876182568	-1274.0849456148173	0.997789566755084	0.996	0.19938107869142352	0.20114942528735633	0.20070733863837312	0.19982316534040673	0.1989389920424403	0.020678094493609397	1.1264077467921794	0.3610057499444402	2.62802358470315	-0.15968488704079578	3.3204748665626327
22400	-1361.1060546096658	-88.30174391647311	-1272.8043106931927	0.9982316534040672	0.996	0.19938107869142352	0.20159151193633953	0.2002652519893899	0.19982316534040673	0.1989389920424403	0.021292871446425048	1.1266210623411437	0.3598130412884392	2.6248353166014082	-0.1523804587072469	3.306043542575386
22500	-1359.1592294752147	-85.51518494051534	-1273.6440445346993	0.997789566755084	0.996	0.19938107869142352	0.20114942528735633	0.20070733863837312	0.19982316534040673	0.1989389920424403	0.021894501370778214	1.1262913395412883	0.3595193648168198	2.6125341374295945	-0.1494752782815905	3.328830343588134
22600	-1361.1877721335964	-96.05448934289048	-1265.1332827907058	0.9982316534040672	0.996	0.19982316534040673	0.20114942528735633	0.19982316534040673	0.2002652519893899	0.1989389920424403	0.026242783826892168	1.1182780905078258	0.35984815432029316	2.5925728929814587	-0.1501834994714181	3.310943710110855
22700	-1354.9915032002823	-92.69277747885567	-1262.2987257214265	0.9973474801061007	0.996	0.19982316534040673	0.20159151193633953	0.19982316534040673	0.19982316534040673	0.1989389920424403	0.02396017906821777	1.120105164586905	0.35558268611392596	2.5806207979231557	-0.1471998266611998	3.2709013420484796
22800	-1352.7377281925492	-91.34980894777479	-1261.3879192447744	0.9986737400530504	1.0	0.19938107869142352	0.20070733863837312	0.2002652519893899	0.20070733863837312	0.1989389920424403	0.023857420387757587	1.1157559560643802	0.3446367154348866	2.6208793583043413	-0.1586788886995349	3.26675547803225
22900	-1351.7413086557904	-91.03178819698725	-1260.7095204588031	0.9973474801061007	1.0	0.19982316534040673	0.20159151193633953	0.19982316534040673	0.19982316534040673	0.1989389920424403	0.023313501634557334	1.113531819608324	0.35847354271061427	2.6106494860825524	-0.16940174375907519	3.2842465037891193
23000	-1356.5211693871056	-85.46701924179547	-1271.0541501453101	0.9986737400530504	1.0	0.19938107869142352	0.20070733863837312	0.2002652519893899	0.20070733863837312	0.1989389920424403	0.02862653529233675	1.1256949583829898	0.3554756799042327	2.6141408796141077	-0.1644378821177609	3.299938167651349
