it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	acc_C2	acc_C3	acc_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	mean_w3	std_w3	acc_prob	mcmc_id
596000	-13865.342853810645	-968.1803095110857	-12897.16254429956	0.9004524886877828	0.7697594501718213	0.9484536082474226	0.850828729281768	0.8045112781954887	0.9086161879895561	0.8458333333333333	-0.024042305909881635	0.4640497925503493	-0.02052463770090431	0.378493991474684	-0.008459777663562429	0.5177782269048601	-0.2536496959366137	0.9849386431517111	0.005395973154362416	0
596100	-13865.342853810645	-968.1803095110857	-12897.16254429956	0.9004524886877828	0.7697594501718213	0.9484536082474226	0.850828729281768	0.8045112781954887	0.9086161879895561	0.8458333333333333	-0.024042305909881635	0.4640497925503493	-0.02052463770090431	0.378493991474684	-0.008459777663562429	0.5177782269048601	-0.2536496959366137	0.9849386431517111	0.005395067941620533	0
596200	-13865.342853810645	-968.1803095110857	-12897.16254429956	0.9004524886877828	0.7697594501718213	0.9484536082474226	0.850828729281768	0.8045112781954887	0.9086161879895561	0.8458333333333333	-0.024042305909881635	0.4640497925503493	-0.02052463770090431	0.378493991474684	-0.008459777663562429	0.5177782269048601	-0.2536496959366137	0.9849386431517111	0.005394163032539416	0
596300	-13865.342853810645	-968.1803095110857	-12897.16254429956	0.9004524886877828	0.7697594501718213	0.9484536082474226	0.850828729281768	0.8045112781954887	0.9086161879895561	0.8458333333333333	-0.024042305909881635	0.4640497925503493	-0.02052463770090431	0.378493991474684	-0.008459777663562429	0.5177782269048601	-0.2536496959366137	0.9849386431517111	0.005393258426966292	0
596400	-13865.342853810645	-968.1803095110857	-12897.16254429956	0.9004524886877828	0.7697594501718213	0.9484536082474226	0.850828729281768	0.8045112781954887	0.9086161879895561	0.8458333333333333	-0.024042305909881635	0.4640497925503493	-0.02052463770090431	0.378493991474684	-0.008459777663562429	0.5177782269048601	-0.2536496959366137	0.9849386431517111	0.005392354124748491	0
596500	-13857.171685227735	-960.1978488313125	-12896.973836396422	0.8996983408748115	0.7835051546391752	0.9484536082474226	0.856353591160221	0.8345864661654135	0.8981723237597912	0.8416666666666667	-0.024088869926455266	0.4640054618605465	-0.02055896266006051	0.3784516207643022	-0.008431937197081917	0.5177634255471142	-0.2541942105691346	0.9849788588984141	0.005393126571668063	0
596600	-13857.171685227735	-960.1978488313125	-12896.973836396422	0.8996983408748115	0.7835051546391752	0.9484536082474226	0.856353591160221	0.8345864661654135	0.8981723237597912	0.8416666666666667	-0.024088869926455266	0.4640054618605465	-0.02055896266006051	0.3784516207643022	-0.008431937197081917	0.5177634255471142	-0.2541942105691346	0.9849788588984141	0.005392222594703319	0
596700	-13857.171685227735	-960.1978488313125	-12896.973836396422	0.8996983408748115	0.7835051546391752	0.9484536082474226	0.856353591160221	0.8345864661654135	0.8981723237597912	0.8416666666666667	-0.024088869926455266	0.4640054618605465	-0.02055896266006051	0.3784516207643022	-0.008431937197081917	0.5177634255471142	-0.2541942105691346	0.9849788588984141	0.005391318920730685	0
596800	-13858.269189219309	-961.0937089650248	-12897.175480254284	0.8981900452488688	0.7800687285223368	0.9525773195876288	0.8453038674033149	0.8345864661654135	0.8968668407310705	0.8375	-0.02404583252719033	0.46402630743822365	-0.02055355675802136	0.37852640574962393	-0.008467150609524913	0.517724832543094	-0.25412373535646604	0.9850930818983541	0.005392091152815013	0
596900	-13858.269189219309	-961.0937089650248	-12897.175480254284	0.8981900452488688	0.7800687285223368	0.9525773195876288	0.8453038674033149	0.8345864661654135	0.8968668407310705	0.8375	-0.02404583252719033	0.46402630743822365	-0.02055355675802136	0.37852640574962393	-0.008467150609524913	0.517724832543094	-0.25412373535646604	0.9850930818983541	0.005391187803652203	0
